,productid,brand,category,subcategory,name
69,HBV00000NFH8Z,Davidoff,İçecekler,Kahve,Davidoff Elegance Espresso Gentle Roast 10 Adet Kapsül
70,HBV00000NFHAC,Bestpet,Pet Shop,Kedi,Bestpet Mix Kedi Kuru Mama 400 gr
71,HBV00000NG8OX,Sunpride,İçecekler,Meyve Suyu,Sunpride Domates Suyu Cam Şişe 1 lt
75,HBV00000OE7JJ,Kerry Gold,Kahvaltılık ve Süt,Peynir,Kerrygold Cheddar 200 gr
76,HBV00000OE7L1,Banvit,"Et, Balık, Şarküteri",Kümes Hayvanları,Banvit Piliç Döner Küvet 200 gr
77,HBV00000PLGLR,Uni,Bebek,Islak Mendil,Uni Baby Sensitive 3'lü Islak Havlu
78,HBV00000PNGC8,Nutella,Kahvaltılık ve Süt,Krem Çikolata ve Ezme,Ferrero Nutella Kakaolu Fındık Kreması 750 gr
79,HBV00000PNGM6,Kinder,Atıştırmalık,"Çikolata, Gofret ve Barlar",Ferrero Kınder Sut Dılımı Bar Kek 28 gr
80,HBV00000PQJ7S,Dardanel,Temel Gıda,Konserve,Dardanel Light Ton 2x160 g
81,HBV00000PQJKH,friskies,Pet Shop,Kedi,"Friskies Yavru Kedi Maması 1,5 kg"
82,HBV00000PQKPT,Nestle,Atıştırmalık,"Çikolata, Gofret ve Barlar",Nestle 1927 Gofret Sütlü-Fındıklı 30.5 Gr
83,HBV00000PQL2Q,Prima,Bebek,Bebek Bezi,Prima AB Mega Fırsat Paketi 5 Beden 62'li
84,HBV00000PV6R3,Doğalsan,Temel Gıda,"Baharat, Harç ve Bulyon",Doğalsan Yulaf Kepeği 400 g
85,HBV00000PV78B,Ernet,Ev Bakım ve Temizlik,Mutfak Ve Banyo Ürünleri,Ernet Süper Lavabo Aç 2x70
86,HBV00000PVBJY,Polly Pocket,Oyuncak ve Kırtasiye,Oyuncak,Polly Pocket & Arkadaşları
87,HBV00000PVBN5,Privacy,Sağlık ve Kozmetik,"Parfüm, Deodorant",Erkek Deodorant Sprey Addiction 150 ml
88,HBV00000PVBTB,Rexona,Sağlık ve Kozmetik,"Parfüm, Deodorant",Rexona Invisible Black & White Deo Sprey 150 ml
89,HBV00000PVPYB,Banat,Kişisel Bakım,Ağız Bakım,BANAT FLIP-FLAP ÇOCUK DİŞ FIRÇASI
90,HBV00000PVQ5V,Duracell,Ev Yaşam ve Bahçe,Pil,Duracell Özel Alkalin MN21 Pil Tekli Paket
91,HBV00000PVQBC,Garnier,Sağlık ve Kozmetik,"El, Yüz ve Vücut Bakımı",Bb Krem Yağlı Orta 40 ml
92,HBV00000QS9M0,Carrefour,Kahvaltılık ve Süt,Süt,Carrefour Bio Organik Süt 1 lt
93,HBV00000QU477,Pakmaya,Tatlı,"Yufka, Taze Hamur ve Mayalar",Pak Yaş Maya 4 x 42 gr
94,HBV00000QU49S,Solo,Ev Bakım ve Temizlik,Kağıt Ürünler,Solo Tuvalet Kağıdı 24'lü
95,HBV00000QU4C2,Ülker,Atıştırmalık,Bisküvi ve Kekler,Ülker Çokomel Marshmallow Çilekli Bisküvi 12 g x 35'li
96,HBV00000QUBKB,Eker,Kahvaltılık ve Süt,Yoğurt,Eker Orman Meyveli Süzme Yoğurt 125 gr
97,HBV00000QUIMQ,Uniq2go,Atıştırmalık,"Çikolata, Gofret ve Barlar",Uniq2go Choconut Mini 25 gr
98,HBV00000QX1T9,Eti,Atıştırmalık,Bisküvi ve Kekler,Etı Negro Bold Cıkolata Kremalı Bıskuvı 120 gr
99,HBV00000SF277,Choice,Sağlık ve Kozmetik,Makyaj Ürünleri,Choice Oje French Pembe Numara 103
100,HBV00000SPBCB,Algida,Dondurma,Kap Dondurma,Algida Cornetto Çılgın Aşık 130 ml
101,HBV00000TDWFC,Tek Lezzet,Pratik Yemekler,Hazır Yemekler,Tek Lezzet Acı Biber Salçası 600 gr
102,HBV00000U2AXS,Fellas,Atıştırmalık,"Çikolata, Gofret ve Barlar",Fellas Tarçın Ve Kakao Protein Bar 32 gr Vegan Ve Glutensiz
103,HBV00000U2AZA,Schwarzkopf,Kişisel Bakım,Saç Bakımı,"Gliss 4'ü 1 Arada Saç Bakım Kürü Besleyici Yıpranmış, Zayıf Saçlar 400 ml"
104,HBV00000UIYIU,Fa,Sağlık ve Kozmetik,"Parfüm, Deodorant",Fresh&Free Limer & Coconut Roll-On
105,MTLVECOGT2632T3K4,Lava,Ev Yaşam ve Bahçe,Mutfak Ürünleri,Lava Izgara Tava 26X32 Cm. Metal Kulplu Ve Ahşap Stand
106,OTM09E018,Carpex,"Spor, Outdoor ve Oto",Oto Ürünleri,Carpex Klima Temizleme Spreyi 250 ml
107,SGBA1911,Loreal Paris,Kişisel Bakım,Saç Bakımı,L'oréal Paris Excellence Creme Saç Boyası 6.30 Badem Kahvesi
108,SGDIL500412,Activex,Kişisel Bakım,Duş Jelleri ve Sabunlar,Activex Antibakteriyel Sıvı Sabun Hassas Koruma 700 Ml
109,SGORALB278465,Oral-B,Kişisel Bakım,Ağız Bakım,Oral-B Pro-Expert Stages Çocuk Diş Macunu Winnie the Pooh 75 ml ( 0 - 2 Yaş)
110,SGPAN972028,Pantene,Kişisel Bakım,Saç Bakımı,Pantene Pro-V Nem Terapisi Şampuanı 500 ml
111,ZYBAN8690555780223,Banat,Ev Bakım ve Temizlik,Ev Temizlik Ürünleri,"Banat Renkli Fırça Sapı (Mavi,Yeşil,Sarı, Kırmızı Renklerde ) kk"
112,ZYDAROM101D3036,Dardanel,Temel Gıda,Konserve,Dardanel Fasulyeli Ton Balığı 185 gr
113,ZYECZACI9221045,Detan,Ev Bakım ve Temizlik,Haşere Öldürücüler,Detan Süper Elektrolikit Yedek 60 Gece
114,ZYECZACI9300391,Scotch Brite,Ev Bakım ve Temizlik,Ev Temizlik Ürünleri,Scotch Brite Yeşil Klasik Tırnak Koruyucu Sünger 8'li
115,ZYHAYAT55021338,Familia,Ev Bakım ve Temizlik,Kağıt Ürünler,Familia Plus Tuvalet Kağıdı 32'li
116,ZYHPFRITOCPS057,Lay's,Atıştırmalık,Cips,Lay's Baharat Süper Boy Patates Cipsi 107 gr
117,ZYHPULKERKFE010,Ülker,Kahvaltılık ve Süt,Krem Çikolata ve Ezme,Ülker Çokokrem Tüp 40 gr
118,ZYJWAX636605,Raid,Ev Bakım ve Temizlik,Haşere Öldürücüler,Raid Elektrolikit 45 Gece Yedek Sinek Kovucu
119,ZYKUK3004,Kemal Kükrer,Temel Gıda,Salça ve Hazır Soslar,Kemal Kükrer Üzüm Sirkesi Pet Şişe 1 lt
120,ZYPYON83554,Fairy,Ev Bakım ve Temizlik,Bulaşık Yıkama,Fairy 650 ml Sıvı Bulaşık Deterjanı Nar
121,ZYSINAN97702982189,Sinangil,Tatlı,Un ve İrmik,Sinangil F. Düşük Proteinli Nişastalı Karışım 500 Gr
122,ZYUNIL70020865,Knorr,Pratik Yemekler,Hazır Çorbalar,Knorr Hazır Çorba Kremalı Tavuk 65 gr
123,AILEMLP008116,Aptamil,Bebek,Devam Sütleri ve Ek Gıdalar,Aptamil Sütlü 7 Tahıllı Elmalı Tahıl Bazlı Kaşık Maması 250 g 6-36 Ay
124,HBV000004B8O5,Paşabahçe,Ev Yaşam ve Bahçe,Mutfak Ürünleri,Paşabahçe Lock & Store Saklama Kabı - 800 Cc
125,HBV00000CQFMF,Molped,Sağlık ve Kozmetik,Hijyenik Pedler,Molped Pure&Soft Hijyenik Ped Uzun Süper Ekonomik 22 Adet
126,HBV00000D1F6R,Bağdat,Temel Gıda,"Un, Tuz, Şeker",Bağdat Baharat Himalaya Çakıl Tuzu Cam Değirmen 110 gr
127,HBV00000JUHHQ,Red Bull,İçecekler,Enerji İçeceği,Red Bull Enerji İçeceği Hindistan Cevizi ve Açai 250 ml
128,HBV00000LI4H1,Duru,Kişisel Bakım,Duş Jelleri ve Sabunlar,Duru Fruit & Milk Çilek ve Süt Duş Jeli 450 ml
129,HBV00000LR9GK,Kotex,Sağlık ve Kozmetik,Hijyenik Pedler,Kotex Active Normal Ped 24'lü
130,HBV00000NE0RO,Ekici,Kahvaltılık ve Süt,Peynir,Ekici Tel Peynir 250 gr
131,HBV00000NE0VC,Ekici,Kahvaltılık ve Süt,Peynir,Ekici Peynir Çubukları 250 gr
132,HBV00000NE1A7,İçim,Kahvaltılık ve Süt,Yoğurt,İçim Yoğurt Doğal 2000 Gr
133,HBV00000NE1T6,Carrefour,Temel Gıda,"Bakliyat, Pirinç, Makarna","Carrefour Osmancık Pirinç 2,5 Kg"
134,HBV00000NE20Z,Namet,"Et, Balık, Şarküteri",Şarküteri,Namet Dana Kokteyl Sosis 450 gr
135,HBV00000NFGX7,Züber,Atıştırmalık,"Çikolata, Gofret ve Barlar",Züber Ispanaklı Kayısılı Sebzeli Meyve Tatlısı
136,HBV00000NFHK5,Dr. Oetker,Pratik Yemekler,Dondurulmuş Hamur İşleri,Dr. Oetker Ristorante Mini Mozerella Pizza 4'Lü
137,HBV00000NFHRM,Hisar Kahve,İçecekler,Kahve,Hisar Türk Kahvesi Damla Sakızlı 100 g
138,HBV00000NFMM8,Greenlife,Temel Gıda,"Baharat, Harç ve Bulyon",Greenlife Öğütülmüş Mahlep 20 gr
139,HBV00000NFMMS,Cihanser,Kahvaltılık ve Süt,Peynir,Cihanser Kars Gravyeri 100 gr
140,HBV00000NVZJP,Turkuvaz Dag,Oyuncak ve Kırtasiye,Gazete ve Dergi,Birgün gazetesi
142,HBV00000OE6R6,Green Life,Temel Gıda,"Baharat, Harç ve Bulyon",Green Life Kekik 25 gr
143,HBV00000OFHX1,Dtc,Fırın,Ekmekler,Dtc Kavılca Unlu Organik Ekmek 750 gr
144,HBV00000PLGN0,Aroma,İçecekler,Meyve Suyu,Aroma Vişneli İçecek 1 L
145,HBV00000PNG5S,Oreo,Atıştırmalık,Bisküvi ve Kekler,Oreo Bıskuvı 228 gr
146,HBV00000PNG77,Ferrero Rocher,Atıştırmalık,"Çikolata, Gofret ve Barlar",Ferrero Rocher Fındıklı Cıkolata 200 gr
147,HBV00000PQJPI,Fairy,Ev Bakım ve Temizlik,Bulaşık Yıkama,Fairy Platinum 16 Kapsül
148,HBV00000PQK24,Huggies,Bebek,Bebek Bezi,Huggies DryNites Large Kız Külodu 9'lu
149,HBV00000PQLDS,Sir,Ev Bakım ve Temizlik,Ev Temizlik Ürünleri,Sır Duşakabin Temizleyici 750 ml
150,HBV00000PQLPL,Tat,Pratik Yemekler,Hazır Yemekler,Tat Sarma Yaprak 190 Gr
151,HBV00000PQM69,Yurt,Pratik Yemekler,Hazır Yemekler,Yurt Haşlanmış Barbunya 800 g
152,HBV00000PV5JH,Air Wick,Ev Bakım ve Temizlik,Oda Kokusu ve Koku Gidericiler,Air Wick Oda Kokusu Life Scents Kokulu Çubuk Turkuaz Sular
153,HBV00000PV6X0,Dr. Oetker,Tatlı,Tatlı Malzemeleri,Dr. Oetker Pasta Kreması Duo Vanilinli Çilekli
154,HBV00000PV845,Glade,Ev Bakım ve Temizlik,Oda Kokusu ve Koku Gidericiler,Lavanta Ferahlığı Aerosol 300 ml
155,HBV00000PV9GG,Loreal Paris,Kişisel Bakım,Saç Bakımı,Dream Long Saç Kremi 360 ml
156,HBV00000PVCHI,Schwarzkopf,Kişisel Bakım,Saç Bakımı,Taft Sprey Volumen 250 ml
157,HBV00000PVQD3,Hacı Şakir,Kişisel Bakım,Duş Jelleri ve Sabunlar,Haci Şakir Sabun Saf Lavanta 4*150 Gr
158,HBV00000PVQY1,Signal,Kişisel Bakım,Ağız Bakım,Signal Diş Fırçası Performance
160,HBV00000SP6WP,Bioblas,Kişisel Bakım,Saç Bakımı,Şampuan Yavaş Uzayan Saçlar Şampuan 360 ml
161,HBV00000SP854,Nestle,Atıştırmalık,"Çikolata, Gofret ve Barlar",Nestle Cheerios Tam Tahıllı Bar 22 gr
162,HBV00000SPIE3,Algida,Dondurma,Kap Dondurma,Algida Keyif Antepfıstık & Vanilya 750 ml
163,HBV00000SPIG1,Old Spice,Sağlık ve Kozmetik,"Parfüm, Deodorant",Erkek Stick Whitewater 50 ml
164,HBV00000U2AZZ,Saloon,Kişisel Bakım,Duş Jelleri ve Sabunlar,Saloon Sabun Sıvı Beyaz Sabun 400 Ml
165,SGDIL501148,Duru,Sağlık ve Kozmetik,"Parfüm, Deodorant",Duru Limon Kolonya Pet Şişe 200 ml
166,SGGIL291014,Gillette,Sağlık ve Kozmetik,Tıraş Ürünleri,Gillette Mach3 Ekstra Konfor 200 ml Tıraş Jeli
167,ZYBICN9286428,Altınkılıç,İçecekler,Gazsız İçecekler,Altınkılıç Ballı Muzlu Kefirix 250 Ml
168,ZYBICN9286588,Pınar,Kahvaltılık ve Süt,Peynir,Pınar Krem Peynir 300 Gr
169,ZYHPFRITOCPS058,Doritos,Atıştırmalık,Cips,Doritos Nacho Süper Boy Mısır Cipsi 113 gr
170,ZYHPPRINGCPS008,Pringles,Atıştırmalık,Cips,Pringles Cheese&Onion 165 gr
171,ZYSLE060307,Sleepy,Bebek,Bebek Bezi,Sleepy Sensitive Bebek Bezi 4 Beden Maxi Jumbo Paket (30 Adet)
172,AILEMLP1451,Bebelac,Bebek,Biberon Mamaları,Bebelac Nutrikonfor 2 Devam Sütü 300 gr
173,HBV000003Q0YP,Humana,Bebek,Biberon Mamaları,Humana 1 Metal Kutulu Bebek Sütü 350 gr
174,HBV000006IYLO,Torku,Kahvaltılık ve Süt,Peynir,Torku Tam Yağlı Süzme Peynir 850 Gr
175,HBV000006IYTQ,Pınar,Kahvaltılık ve Süt,Peynir,Pınar Dilimli Burger Peynir 350 g
176,HBV0000097G2V,Parex,Ev Bakım ve Temizlik,Yüzey Temizleyiciler,Parex Pamuk+Mikrofiber Yedek Mop Paspas
177,HBV000009BUJ3,Orkid,Sağlık ve Kozmetik,Hijyenik Pedler,Orkid Ultra Extra Uzun 22 Adet Süper Ekonomik Paket Hijyenik Ped
178,HBV000009PEE7,Tefal,Ev Yaşam ve Bahçe,Mutfak Ürünleri,Tefal B3530412 Cook Right 24 cm Tava [ Kırmızı ] - 2100098688
179,HBV00000F1UIP,Felix,Pet Shop,Kedi,Felix Sensations Sığır Etli ve Domatesli Yaş Kedi Maması 100 gr
180,HBV00000FHGE8,Dr. Oetker,Tatlı,Un ve İrmik,Dr. Oetker Pandispanya Un 350 g
181,HBV00000GKHUX,Vivident,Atıştırmalık,"Sakız, Şekerleme",Vivident Nane Aramolı Sakız Extra Bottle 66 gr
182,HBV00000NE0PV,Thai World,Temel Gıda,Salça ve Hazır Soslar,Thai World Balık Sosu 200 ml
183,HBV00000NE169,Ülker,Atıştırmalık,Bisküvi ve Kekler,Ülker Kat Kat Rulokat Çikolata 170 Gr
184,HBV00000NFHCK,Superfresh,Pratik Yemekler,"Dondurulmuş Et, Su Ürünleri",Superfresh İnegöl Köfte 362 gr
185,HBV00000NFHG7,Pınar,Pratik Yemekler,Dondurulmuş Hamur İşleri,Pınar Milföy 1 kg
186,HBV00000O2SAR,Kocaman,"Et, Balık, Şarküteri",Balık ve Deniz Mahsülleri,Kocaman Sardalya Ançüez Dereotlu Marine 90 gr
187,HBV00000OE92Q,Doğalım,Kahvaltılık ve Süt,Yumurta,Doğalım Yumurta 15'Li 62 gr
189,HBV00000P7VMN,Eti,Atıştırmalık,Bisküvi ve Kekler,Eti Burçak Gönlübol 180 g
190,HBV00000P7Z9N,Evy Baby,Bebek,Bebek Bezi,Evy Baby Bebek Bezi Midi 2'li Paket 68'li
192,HBV00000PLGLF,De Cecco,Organik ve Diyet,"Organik Bakliyat, Makarna",De Cecco Spaghettini Makarna 500 G
193,HBV00000PNG5M,Çizmeci Time,Atıştırmalık,Bisküvi ve Kekler,Wafermaster Teneke Fındıklı Gofret 400 gr
194,HBV00000PNG5W,Mcvities,Atıştırmalık,Bisküvi ve Kekler,McVities Digestive Bisküvi Bitter Çikolatalı 120 Gr
195,HBV00000PNG9B,Doritos,Atıştırmalık,Cips,Doritos Mısır Cipsi Nacho Peynirli 113 gr
196,HBV00000PNG9X,Doritos,Atıştırmalık,Cips,Doritos Mısır Cipsi Nacho Peynirli 169 Gr
197,HBV00000PNGCO,Nutzz,Atıştırmalık,Kuruyemiş,Peyman Nutzz Yer Fıstığı Kızartılmış Tuzlu 130 Gr
198,HBV00000PNGJS,Coca-Cola,İçecekler,Gazlı İçecekler,Coca Cola 1 lt
199,HBV00000PNGMR,Nestle,Atıştırmalık,"Çikolata, Gofret ve Barlar",Nestlé 1927 Fındık Kremalı Bitter Gofret 30 g
200,HBV00000PQJ36,Cebel,Kahvaltılık ve Süt,Peynir,Cebel Çörekotlu Tam Yağlı tulum Peyniri 1000 Gr
201,HBV00000PQJS2,Filiz,Temel Gıda,"Bakliyat, Pirinç, Makarna",Filiz Makarna Burgu Sebzeli 350 Gr
202,HBV00000PQK5Y,Whiskas,Pet Shop,Kedi,Whiskas Kuru Tavuklu 3.8 kg
203,HBV00000PQKMV,Muratbey,Kahvaltılık ve Süt,Peynir,Muratbey Peynir Beyaz Sürmeli 700 Gr
204,HBV00000PQKOK,Nescafe,İçecekler,Kahve,Nescafe Classic Cam Kavanoz 200 g
205,HBV00000PQLI2,Superfresh,Pratik Yemekler,Dondurulmuş Hamur İşleri,Süperfresh Börek Mini Peynirli 500 Gr
206,HBV00000PQM35,Vivident,Atıştırmalık,"Sakız, Şekerleme",Vıvıdent Stormıng Karpuzlu Sakız 33 gr
207,HBV00000PQOO0,Acqua Panna,İçecekler,Maden Suları,Acqua Panna Dogal Mınerallı Su Cam 250 ml
208,HBV00000PQOVP,Nestle,Su,Su,Nestle Pure Life Su 0.5 lt
209,HBV00000PQS8R,Pro Line,Pet Shop,Köpek,Proline Kuzu Etli Konserve Köpek Maması 415 g
210,HBV00000PV6C4,Cif,Ev Bakım ve Temizlik,Mutfak Ve Banyo Ürünleri,Cif Krem Mavi Çam 450 ml
211,HBV00000PV7WU,Gillette,Sağlık ve Kozmetik,Tıraş Ürünleri,Gillette Blue 3 SenseCare Kullan At Tıraş Bıçağı 6'lı
212,HBV00000PV8CX,Harika Kanatlar,Oyuncak ve Kırtasiye,Oyuncak,Harika Kanatlar Tekli Paul
214,HBV00000PVQ77,Duru,Kişisel Bakım,Duş Jelleri ve Sabunlar,Duru Sabun Saf-Doğal Lavanta 4*70 Gr
215,HBV00000QU3VU,Çamlıca,İçecekler,Gazlı İçecekler,Çamlıca Gazoz Kutu 250 ml
216,HBV00000QU4CA,Ülker,Atıştırmalık,Bisküvi ve Kekler,Ülker Flipz Sütlü Çilek Aromalı Kaplamalı Kraker 60 gr
217,HBV00000SF279,Choice,Sağlık ve Kozmetik,Makyaj Ürünleri,Choice Oje Numara 100
218,HBV00000SP738,Elidor,Kişisel Bakım,Saç Bakımı,Elidor Doğanın Enerjisi Hindistan Cevizi Yağı Extra Bakım 500 ml Güçlü Saç Uçları
219,HBV00000SP88G,Ülker,Dondurma,Kap Dondurma,Ülker Roko Çikolata-Krema Don. 65 ml
